"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP11.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Restaurants and hotels","Index","Annual","Units","98.14166666666665","100.0083333333334","102.4083333333333","105.6333333333334","108.4166666666667","111.3","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP09.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Recreation and culture","Index","Annual","Units","100.575","100.0083333333333","100.4","102.3416666666667","105.4416666666667","107.45","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP04.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Housing, water, electricity, gas and other fuels","Index","Annual","Units","99.53333333333332","100.0083333333333","100.1833333333334","101.9916666666667","104.375","106.175","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP12.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Miscellaneous goods and services","Index","Annual","Units","99.68333333333332","100","101.1083333333334","102.4833333333333","102.45","103.7416666666667","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP04.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Housing, water, electricity, gas and other fuels","Period average, Year-over-year (YOY) percent change","Annual","Units","3.018802829049512","0.4772270596115004","0.1749854178819432","1.805024122442155","2.336792221586697","1.724550898203593","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP08.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Communication","Period average, Year-over-year (YOY) percent change","Annual","Units","1.27470271195139","1.351579658726123","2.733788964827518","1.760506246957617","1.028462090408993","3.89046717171714","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP10.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Education","Index","Annual","Units","92.16666666666668","99.975","104.7166666666667","108.725","111.8666666666667","115.275","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP08.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Communication","Index","Annual","Units","98.65","99.98333333333332","102.7166666666667","104.525","105.6","109.7083333333333","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP05.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Furnishings, household equipment and routine household maintenance","Index","Annual","Units","99.96666666666668","100","99.90833333333332","102.5","104.2083333333334","105.1416666666667","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP._T.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","All Items","Period average, Period-over-period percent change","Annual","Units","1.471956687251502","0.05002084201758733","0.6416131989000246","2.690842854777347","2.475207611061806","1.77812745869391","","","","","",""
